t,light_percent,temp,state
0.0009560585021972656,42.56,27.5,LED_OFF
0.0014698505401611328,42.56,27.5,LED_OFF
0.0019011497497558594,42.56,27.5,LED_OFF
0.0022687911987304688,42.56,27.5,LED_OFF
0.0026297569274902344,42.56,27.5,LED_OFF
0.002980470657348633,42.56,27.5,LED_OFF
0.003337383270263672,42.56,27.5,LED_OFF
0.0037369728088378906,42.56,27.5,LED_OFF
0.004123210906982422,42.56,27.5,LED_OFF
0.004508018493652344,42.56,27.5,LED_OFF
0.004886150360107422,42.56,27.5,LED_OFF
0.005249977111816406,42.56,27.5,LED_OFF
0.00559687614440918,42.56,27.5,LED_OFF
0.007406473159790039,42.56,27.5,LED_OFF
0.007863521575927734,42.56,27.5,LED_OFF
0.009732961654663086,42.56,27.5,LED_OFF
0.010077714920043945,42.56,27.5,LED_OFF
0.010436296463012695,42.56,27.5,LED_OFF
0.010788917541503906,42.56,27.5,LED_OFF
0.011127233505249023,42.56,27.5,LED_OFF
0.011464834213256836,42.56,27.5,LED_OFF
0.011797904968261719,42.56,27.5,LED_OFF
0.012130498886108398,42.56,27.5,LED_OFF
0.012459754943847656,42.56,27.5,LED_OFF
0.012855052947998047,42.56,27.5,LED_OFF
0.013383626937866211,42.56,27.5,LED_OFF
0.013698101043701172,42.56,27.5,LED_OFF
0.014028549194335938,42.56,27.5,LED_OFF
0.01434326171875,42.56,27.5,LED_OFF
0.014652490615844727,42.56,27.5,LED_OFF
0.014957666397094727,42.56,27.5,LED_OFF
0.015259742736816406,42.56,27.5,LED_OFF
0.015575408935546875,42.56,27.5,LED_OFF
0.015860795974731445,42.56,27.5,LED_OFF
0.016384124755859375,42.56,27.5,LED_OFF
0.016691207885742188,42.56,27.5,LED_OFF
0.0169980525970459,42.56,27.5,LED_OFF
0.01733088493347168,42.56,27.5,LED_OFF
0.017653226852416992,42.56,27.5,LED_OFF
0.018163442611694336,42.56,27.5,LED_OFF
0.01834559440612793,42.56,27.5,LED_OFF
0.01866626739501953,42.56,27.5,LED_OFF
0.018974781036376953,42.56,27.5,LED_OFF
0.019267559051513672,42.56,27.5,LED_OFF
0.019558191299438477,42.56,27.5,LED_OFF
0.01986241340637207,42.56,27.5,LED_OFF
0.020163774490356445,42.56,27.5,LED_OFF
0.020460128784179688,42.56,27.5,LED_OFF
0.020763397216796875,42.56,27.5,LED_OFF
0.021048784255981445,42.56,27.5,LED_OFF
0.021346330642700195,42.56,27.5,LED_OFF
0.021762371063232422,42.56,27.5,LED_OFF
0.022060871124267578,42.56,27.5,LED_OFF
0.02236008644104004,42.56,27.5,LED_OFF
0.02265334129333496,42.56,27.5,LED_OFF
0.02297520637512207,42.56,27.5,LED_OFF
0.02328038215637207,42.56,27.5,LED_OFF
0.02367091178894043,42.56,27.5,LED_OFF
0.025153636932373047,42.56,27.5,LED_OFF
0.025504112243652344,42.56,27.5,LED_OFF
0.025873422622680664,42.56,27.5,LED_OFF
0.026232481002807617,42.56,27.5,LED_OFF
0.0265505313873291,42.56,27.5,LED_OFF
0.026856660842895508,42.56,27.5,LED_OFF
0.027155399322509766,42.56,27.5,LED_OFF
0.027459144592285156,42.56,27.5,LED_OFF
0.02776956558227539,42.56,27.5,LED_OFF
0.028125762939453125,42.56,27.5,LED_OFF
0.02836298942565918,42.56,27.5,LED_OFF
0.02859354019165039,42.56,27.5,LED_OFF
0.02884078025817871,42.56,27.5,LED_OFF
0.02911376953125,42.56,27.5,LED_OFF
0.02933216094970703,42.56,27.5,LED_OFF
0.02952265739440918,42.56,27.5,LED_OFF
